Market,Call Letters,Radio.com Domain,Trending,AC,Adult Hits,Alternative,CHR / Top 40,Classic Hits,Classic Rock,Country,Hip Hop,Hot AC,Hot AC / Top 40 / CHR,News/Talk,R and B,Rock,Sports,Throwbacks,Urban
"Atlanta, GA",WSTR-FM,https://star941atlanta.radio.com,x,,,,,,,x,,x,x,,,,,,
"Atlanta, GA",WVEE-FM,https://v103.radio.com,x,,,,,,,,x,,,,,,,,x
"Atlanta, GA",WAOK-AM,https://waok.radio.com,,,,,,,,,,,,x,,,,,
"Atlanta, GA",WZGC-FM,https://929thegame.radio.com,,,,,,,,,,,,,,,x,,
Austin-TX,KAMX-FM,https://mix947.radio.com,x,,,,,,,,,x,x,,,,,,
Austin-TX,KKMJ-FM,https://majic.radio.com,x,x,,,,,,,,,,,,,,,
Austin-TX,KKMJ-HD3,https://hot959austin.radio.com,x,,,,,,,,,,,,,,,x,x
Austin-TX,KJCE-AM,https://talk1370.radio.com,,,,,,,,,,,,x,,,,,
"Baltimore, MD",WWMX-FM,https://mix1065baltimore.radio.com,x,,,,x,,,,,,x,,,,,,
"Baltimore, MD",WWMX-HD2,https://hfs.radio.com,,,,x,,,,,,,,,,,,,
"Baltimore, MD",WLIF-FM,https://todays1019.radio.com,x,x,,,,,,,,,,,,,,,
"Baltimore, MD",WJZ-AM,https://1057thefan.radio.com/wjz-am,,,,,,,,,,,,,,,x,,
"Baltimore, MD",WJZ-FM,https://1057thefan.radio.com,,,,,,,,,,,,,,,x,,
Boston-MA,WAAF-FM,https://waaf.radio.com,,,,,,,,,,,,,,x,,,
Boston-MA,WMJX-FM,https://magic1067.radio.com,x,x,,,,,,,,,,,,,,,
Boston-MA,WEEI-FM,https://weei.radio.com,,,,,,,,,,,,,,,x,,
"Boston, MA",WODS-FM,https://1033ampradio.radio.com,x,,,,x,,,,,,x,,,,,,
"Boston, MA",WWBX-FM,https://mix1041.radio.com,x,,,,,,,,,x,x,,,,,,
Buffalo-NY,WKSE-FM,https://kiss985.radio.com,x,,,,x,,,,,x,,,,,,,
Buffalo-NY,WLKK-FM,https://alternativebuffalo.radio.com,x,,,x,,,,,,,,,,,,,
